Beseda;Pomen_ID;Razlaga;Originalni_Zgled;Poved
a;7;samoglasnik, ki ga ta črka zaznamuje:;dolgi a;"Dolgi, a v besedi ""páda,"" se sliši kot vzdih, ki se razteza po tihem jutru."
a;7;samoglasnik, ki ga ta črka zaznamuje:;dolgi a;"Ko sem učil učence o fonetiki, smo poudarili dolgi, a, da bi pravilno izgovorili besedo ""kát""."
a;7;samoglasnik, ki ga ta črka zaznamuje:;dolgi a;Včeraj sem v pesniškem večeru izgovoril dolgi, a, da bi poudaril čustvo nostalgije.
a;7;samoglasnik, ki ga ta črka zaznamuje:;dolgi a;Stari profesor je trdil, da je dolgi, a v slovenščini redko uporabljen, a v poeziji ga najdemo pogosteje.
a;7;samoglasnik, ki ga ta črka zaznamuje:;dolgi a;Med igranjem vloge v drami sem moral izgovoriti dolgi, a, ker je bil moj lik izvirno iz Štajerske.
a;8;"uvaja vprašanje; ali, kaj:";a misliš, da si doma?;A misliš, da si doma?
a;8;"uvaja vprašanje; ali, kaj:";a misliš, da si doma?;A se ti zdi, da je danes mrzlo?
a;8;"uvaja vprašanje; ali, kaj:";a misliš, da si doma?;A verjameš, da bo jutri sončno?
a;8;"uvaja vprašanje; ali, kaj:";a misliš, da si doma?;A si prepričan, da boš prišel pravočasno?
a;8;"uvaja vprašanje; ali, kaj:";a misliš, da si doma?;A menite, da je ta knjiga zanimiva?
a;8;"uvaja vprašanje; ali, kaj:";a misliš, da si doma?;A je tvoj brat že odšel na pot?
a;8;"uvaja vprašanje; ali, kaj:";a misliš, da si doma?;A bo otrokom uspelo dokončati nalogo?
a;8;"uvaja vprašanje; ali, kaj:";a misliš, da si doma?;A ste se že pogovorili z direktorjem?
a;8;"uvaja vprašanje; ali, kaj:";a misliš, da si doma?;A se sprašuješ, zakaj se je to zgodilo?
a;8;"uvaja vprašanje; ali, kaj:";a misliš, da si doma?;A mislite, da bo ta projekt uspešen?
a;8;"uvaja vprašanje; ali, kaj:";a si ga videl?;A si ga videl v parku prejšnji teden?
a;8;"uvaja vprašanje; ali, kaj:";a si ga videl?;A si jo že slišala v tem pogovoru?
a;8;"uvaja vprašanje; ali, kaj:";a si ga videl?;A so ti že pokazali nov model avtomobila?
a;8;"uvaja vprašanje; ali, kaj:";a si ga videl?;A ste ga opazili, ko je vstopil v dvorano?
a;8;"uvaja vprašanje; ali, kaj:";a si ga videl?;A je bilo videti, kako hitro je pobegnil?
a;8;"uvaja vprašanje; ali, kaj:";a si ga videl?;A si jih prepoznal med množico?
a;8;"uvaja vprašanje; ali, kaj:";a si ga videl?;A je bilo jasno, kdo je zmagal?
a;8;"uvaja vprašanje; ali, kaj:";a si ga videl?;A ste jo že spoznali na tem prireditvi?
a;8;"uvaja vprašanje; ali, kaj:";a si ga videl?;A ste opazili, kdaj je sonce zahajalo?
a;8;"uvaja vprašanje; ali, kaj:";a si ga videl?;A je bilo mogoče prepoznati, kdo je napisal to pesem?
a;8;"uvaja vprašanje; ali, kaj:";si lačen, a ne?;Si lačen, a ne?
a;8;"uvaja vprašanje; ali, kaj:";si lačen, a ne?;Ste utrujeni, a ne?
a;8;"uvaja vprašanje; ali, kaj:";si lačen, a ne?;Je mrzlo zunaj, a ne?
a;8;"uvaja vprašanje; ali, kaj:";si lačen, a ne?;So ti že dali nalogo, a ne?
a;8;"uvaja vprašanje; ali, kaj:";si lačen, a ne?;Je čas že pozno, a ne?
a;8;"uvaja vprašanje; ali, kaj:";si lačen, a ne?;Ste že jedli, a ne?
a;8;"uvaja vprašanje; ali, kaj:";si lačen, a ne?;Je knjiga zanimiva, a ne?
a;8;"uvaja vprašanje; ali, kaj:";si lačen, a ne?;Ste zadovoljni s tem, a ne?
a;8;"uvaja vprašanje; ali, kaj:";si lačen, a ne?;Je pot dolg, a ne?
a;8;"uvaja vprašanje; ali, kaj:";si lačen, a ne?;Ste že prebrali to poglavje, a ne?
a;8;"uvaja vprašanje; ali, kaj:";a bo mir ali ne!;A bo mir ali ne!
a;8;"uvaja vprašanje; ali, kaj:";a bo mir ali ne!;A bo jutri dež ali sonce!
a;8;"uvaja vprašanje; ali, kaj:";a bo mir ali ne!;A bo rezultat pozitiven ali negativen!
a;8;"uvaja vprašanje; ali, kaj:";a bo mir ali ne!;A bo film dober ali dolgočasen!
a;8;"uvaja vprašanje; ali, kaj:";a bo mir ali ne!;A bo izpit težak ali preprost!
a;8;"uvaja vprašanje; ali, kaj:";a bo mir ali ne!;A bo potovanje varno ali tvegano!
a;8;"uvaja vprašanje; ali, kaj:";a bo mir ali ne!;A bo koncert poln ali prazen!
a;8;"uvaja vprašanje; ali, kaj:";a bo mir ali ne!;A bo nova politika sprejeta ali zavrnjena!
a;8;"uvaja vprašanje; ali, kaj:";a bo mir ali ne!;A bo športni dogodek uspešen ali razočarajo!
a;8;"uvaja vprašanje; ali, kaj:";a bo mir ali ne!;A bo prihodnost svetla ali temna!
a;8;"uvaja vprašanje; ali, kaj:";a tako?;A tako?
a;8;"uvaja vprašanje; ali, kaj:";a tako?;A tako naj se zgodi?
a;8;"uvaja vprašanje; ali, kaj:";a tako?;A tako boš odgovoril?
a;8;"uvaja vprašanje; ali, kaj:";a tako?;A tako misliš, da je prav?
a;8;"uvaja vprašanje; ali, kaj:";a tako?;A tako naj ostane sporočilo?
a;8;"uvaja vprašanje; ali, kaj:";a tako?;A tako bomo nadaljevali?
a;8;"uvaja vprašanje; ali, kaj:";a tako?;A tako se konča zgodba?
a;8;"uvaja vprašanje; ali, kaj:";a tako?;A tako boš sprejel odločitev?
a;8;"uvaja vprašanje; ali, kaj:";a tako?;A tako naj se razjasni položaj?
a;8;"uvaja vprašanje; ali, kaj:";a tako?;A tako boš zaključil pogovor?
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";prej so ga radi imeli, a zdaj zabavljajo čezenj;Prej so ga radi imeli, a zdaj ga zabavljajo kot čezenj.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";prej so ga radi imeli, a zdaj zabavljajo čezenj;Ko smo ga spoznali, smo ga cenili, a danes ga obravnavajo kot čezenj.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";prej so ga radi imeli, a zdaj zabavljajo čezenj;Naš starejši učitelj je bil spoštovan, a zdaj zgublja na ugledu.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";prej so ga radi imeli, a zdaj zabavljajo čezenj;Mladinski vodja je bil nekoč vzor, a zdaj izgublja upanje v mlade.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";prej so ga radi imeli, a zdaj zabavljajo čezenj;Leta 1995 so ga občina oboževala, a je po reformi izgubil ugled.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";prej so ga radi imeli, a zdaj zabavljajo čezenj;Včeraj so ga pohvalili za delo, a danes je bil odpuščen.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";prej so ga radi imeli, a zdaj zabavljajo čezenj;Sosedje so ga prej imeli rad, a so po zadnjem nesporazumu prekinili stike.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";prej so ga radi imeli, a zdaj zabavljajo čezenj;Naš prijatelj je bil vedno dobrodošel, a po tistem incidentu ga ni več na zabave.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";prej so ga radi imeli, a zdaj zabavljajo čezenj;Pred letom je bil vodja projekta priljubljen, a nič več.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";prej so ga radi imeli, a zdaj zabavljajo čezenj;Učenci so ga nekoč spoštovali, a ga zdaj krivijo za vsako napako.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";to so besede, a ne dejanja;To so besede, a ne dejanja, ki bi resnično spremenila položaj.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";to so besede, a ne dejanja;Trdi, da mu je mar, a to so le besede, ne dejanja.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";to so besede, a ne dejanja;Političarki obljubljajo spremembe, a na koncu so to samo besede, ne dejanja.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";to so besede, a ne dejanja;Njegov govor je bil poln obljub, a ostale so bile le besede, ne dejanja.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";to so besede, a ne dejanja;Zdaj zagovarja pravico, a to so le besede, ne dejanja, ki bi jo uresničila.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";to so besede, a ne dejanja;Mlada aktivistka kriče za pravico, a njeni protesti so zgolj besede, ne dejanja.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";to so besede, a ne dejanja;V razpravi je izpostavil težava, a ponudil je le besede, ne dejanja.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";to so besede, a ne dejanja;Na sestanku so se pogovarjali o izboljšavah, a ostalo je pri besedah, ne dejanjih.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";to so besede, a ne dejanja;Obljubi, da bo pomagal, a to so samo besede, ne dejanja, ki bi ga podprla.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";to so besede, a ne dejanja;Njene napetosti so se izrazile v besedah, a nikoli niso sledila dejanja.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";drugod umetnike slavijo. A pri nas? sicer je miren, a kadar se napije, zdivja;Drugod umetnike slavijo, a pri nas je miren, a kadar se napije, zdivja.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";drugod umetnike slavijo. A pri nas? sicer je miren, a kadar se napije, zdivja;V tujini mu dajejo nagrade, a doma ostaja skromen, a ko se napije, zdivja.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";drugod umetnike slavijo. A pri nas? sicer je miren, a kadar se napije, zdivja;V drugih mestih ga obožujejo, a pri nas ga poznajo kot tiho osebo, a po kozarcu vina zdivja.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";drugod umetnike slavijo. A pri nas? sicer je miren, a kadar se napije, zdivja;Umetnike drugod hvalijo, a pri nas je znan po tišini, a ko zaužije preveč, zdivja.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";drugod umetnike slavijo. A pri nas? sicer je miren, a kadar se napije, zdivja;Svet ga slavi, a v naši skupnosti je preprosto človeško, a ko se napije, zdivja.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";drugod umetnike slavijo. A pri nas? sicer je miren, a kadar se napije, zdivja;Na festivalih ga častijo, a pri nas je povprečen, a po nekaj kozarcih zdivja.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";drugod umetnike slavijo. A pri nas? sicer je miren, a kadar se napije, zdivja;V drugih državah ga izpostavljajo, a pri nas ga vidijo kot skromnega, a ko se napije, zdivja.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";drugod umetnike slavijo. A pri nas? sicer je miren, a kadar se napije, zdivja;Drugod ga imenujejo genij, a pri nas je le delal, a ko se sprosti z alkoholom, zdivja.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";drugod umetnike slavijo. A pri nas? sicer je miren, a kadar se napije, zdivja;Umetniške kroge drugod obožujejo, a pri nas je tiho prisoten, a ko popije, zdivja.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";drugod umetnike slavijo. A pri nas? sicer je miren, a kadar se napije, zdivja;V tujini ga obravnavajo kot legendo, a pri nas ostaja preprost človek, a po kozarcu vina zdivja.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";bilo ji je malo nerodno, a vendar tako lepo pri srcu;Bilo ji je malo nerodno, a vendar tako lepo pri srcu.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";bilo ji je malo nerodno, a vendar tako lepo pri srcu;Ko je nastopila, bilo ji je malo nerodno, a vendar je občinstvo občutilo toplino srca.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";bilo ji je malo nerodno, a vendar tako lepo pri srcu;Na prvem sestanku je bila rahlo nerodna, a vendar je izžarevala čisto lepoto srca.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";bilo ji je malo nerodno, a vendar tako lepo pri srcu;Njena roka je drhtela, bilo ji je malo nerodno, a vendar je izkazala pravo prijaznost.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";bilo ji je malo nerodno, a vendar tako lepo pri srcu;V začetku je čutila nerodnost, bilo ji je malo nerodno, a vendar je srce zažarela v vsakem pogledu.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";bilo ji je malo nerodno, a vendar tako lepo pri srcu;Ko je govorila pred množico, bilo ji je malo nerodno, a vendar je njeno srce bilo izjemno čisto.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";bilo ji je malo nerodno, a vendar tako lepo pri srcu;Na plesni podlagi se je počutila nerodno, bilo ji je malo nerodno, a vendar je srcu dala krila.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";bilo ji je malo nerodno, a vendar tako lepo pri srcu;Bilo ji je malo nerodno ob prvi ljubezni, a vendar je srce izpustilo čudovito melodijo.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";bilo ji je malo nerodno, a vendar tako lepo pri srcu;Pri pisanju poezije je bila včasih nerodna, bilo ji je malo nerodno, a vendar je srce preseglo besede.
a;9;"za izražanje nasprotja s prej povedanim; pa, toda, vendar:";bilo ji je malo nerodno, a vendar tako lepo pri srcu;Ko je sprejela nagrado, bilo ji je malo nerodno, a vendar je v srcu čutila neizmerno radost.
a;10;za izražanje nepričakovane posledice:;tipal je po temni veži, a vrat ni našel;Hodil sem po temni veži, a izhoda nisem našel.
a;10;za izražanje nepričakovane posledice:;tipal je po temni veži, a vrat ni našel;Maja je tekla po temni veži, a se je izgubila.
a;10;za izražanje nepričakovane posledice:;tipal je po temni veži, a vrat ni našel;Otroci so se igrali po temni veži, a so pozabili, kje je vhod.
a;10;za izražanje nepričakovane posledice:;tipal je po temni veži, a vrat ni našel;Bil sem v mraku, a sem spoznal, da vrata niso odprta.
a;10;za izražanje nepričakovane posledice:;tipal je po temni veži, a vrat ni našel;Kolesar je prispel po temni veži, a je naletel na trdno steno.
a;10;za izražanje nepričakovane posledice:;tipal je po temni veži, a vrat ni našel;Stari učitelj je šel po temni veži, a je spoznal, da se je pot spremenila.
a;10;za izražanje nepričakovane posledice:;tipal je po temni veži, a vrat ni našel;Jaz sem se sprehodil po temni veži, a sem zagledal samo Senke, ne pa izhoda.
a;10;za izražanje nepričakovane posledice:;tipal je po temni veži, a vrat ni našel;Petra je pogumno vdrla po temni veži, a je ugotovila, da je vstop zaprto.
a;10;za izražanje nepričakovane posledice:;tipal je po temni veži, a vrat ni našel;Veter je pihal po temni veži, a je prinesel zmedo, ne pa svetlobe.
a;10;za izražanje nepričakovane posledice:;tipal je po temni veži, a vrat ni našel;Moj brat je tekal po temni veži, a je končal pred zaprtimi vrati.
a;10;za izražanje nepričakovane posledice:;postarala se je, a ni ovenela;Postarala se je, a ni ovenela.
a;10;za izražanje nepričakovane posledice:;postarala se je, a ni ovenela;Stara gospa je sežgala svečo, a je ostala nepoškodovana.
a;10;za izražanje nepričakovane posledice:;postarala se je, a ni ovenela;Moja babica je segla po požaru, a je ostala mirna.
a;10;za izražanje nepričakovane posledice:;postarala se je, a ni ovenela;Jaz sem se pregrela v soncu, a sem ostala zdrava.
a;10;za izražanje nepričakovane posledice:;postarala se je, a ni ovenela;Maja je šla v dež, a se ni prehladila.
a;10;za izražanje nepričakovane posledice:;postarala se je, a ni ovenela;Stari mož je stal ob kamini, a se ni izkazal.
a;10;za izražanje nepričakovane posledice:;postarala se je, a ni ovenela;Petra je odkrila staro knjigo, a se ni razpadla.
a;10;za izražanje nepričakovane posledice:;postarala se je, a ni ovenela;Moja dedka je prežgala kos kruha, a se ni spremenil.
a;10;za izražanje nepričakovane posledice:;postarala se je, a ni ovenela;Starec je šel skozi dim, a ni zadel v kašelj.
a;10;za izražanje nepričakovane posledice:;postarala se je, a ni ovenela;Moj ded je poskusil zapreti ogenj, a se je nikoli ne zažgal.
a;11;za izražanje prodajne cene, po:;brisače à 15 din kos;V naši trgovini so brisače, a 15 din na kos, zato sem jih takoj kupil.
a;11;za izražanje prodajne cene, po:;brisače à 15 din kos;Brisače so na voljo, a 15 din na kos.
a;11;za izražanje prodajne cene, po:;brisače à 15 din kos;Če iščete kakovostne brisače, so na voljo, a 15 din na kos v vsakem oddelku.
a;11;za izražanje prodajne cene, po:;brisače à 15 din kos;Brisače, a 15 dinarjev na kos so na voljo v naši trgovini.
a;11;za izražanje prodajne cene, po:;brisače à 15 din kos;Zaradi popusta bodo brisače, a 15 din na kos na voljo samo ta teden.
a;12;"za navezovanje na prej povedano; in, pa:";sin je šel z doma, a hči se je omožila v sosednjo vas;Moj brat je jutri zapustil staro hišo, a sestra se je v tem času vpisala v osnovno šolo v sosednji vas.
a;12;"za navezovanje na prej povedano; in, pa:";sin je šel z doma, a hči se je omožila v sosednjo vas;Peter je po večerji odšel v park, a njegova žena se je v isti uri odločila, da bo obiskala knjigarno v bližnji vasici.
